vbs,vgs,vrg,irg,sqrt(irg)
0,0,-7.00E-06,-7.00E-08,0
0,0.2,-6.00E-06,-6.00E-08,0
0,0.4,-5.00E-06,-5.00E-08,0
0,0.6,1.37E-04,1.37E-06,0.001170469991
0,0.8,1.71E-03,1.71E-05,0.004135214626
0,1,5.89E-03,5.89E-05,0.007674633542
0,1.2,1.27E-02,1.27E-04,0.01128716085
0,1.4,2.21E-02,2.21E-04,0.01486943173
0,1.6,3.38E-02,3.38E-04,0.01839565166
0,1.8,4.77E-02,4.77E-04,0.0218357505
0,2,6.34E-02,6.34E-04,0.02517935662
-2,0,-6.80E-06,-6.80E-08,0
-2,0.2,-6.80E-06,-6.80E-08,0
-2,0.4,-6.70E-06,-6.70E-08,0
-2,0.6,-6.00E-06,-6.00E-08,0
-2,0.8,-6.00E-06,-6.00E-08,0
-2,1,-5.00E-06,-5.00E-08,0
-2,1.2,1.74E-04,1.74E-06,0.001319090596
-2,1.4,2.26E-03,2.26E-05,0.00475394573
-2,1.6,7.45E-03,7.45E-05,0.008631338251
-2,1.8,1.56E-02,1.56E-04,0.01248198702
-2,2,2.64E-02,2.64E-04,0.01623576299
-4,0,-1.00E-06,-1.00E-08,0
-4,0.2,-2.00E-06,-2.00E-08,0
-4,0.4,-2.20E-06,-2.20E-08,0
-4,0.6,-2.30E-06,-2.30E-08,0
-4,0.8,-2.40E-06,-2.40E-08,0
-4,1,-2.40E-06,-2.40E-08,0
-4,1.2,-2.40E-06,-2.40E-08,0
-4,1.4,1.00E-06,1.00E-08,0.0001
-4,1.6,3.06E-04,3.06E-06,0.001749285568
-4,1.8,2.93E-03,2.93E-05,0.005412947441
-4,2,8.82E-03,8.82E-05,0.009391485505
