vgs,vds,irg,
1,0.00E+00,-1.01E-16,
1,1.00E-01,2.19E-05,
1,2.00E-01,3.48E-05,
1,3.00E-01,3.75E-05,
1,4.00E-01,3.90E-05,
1,5.00E-01,4.03E-05,
1,6.00E-01,4.15E-05, 
1,7.00E-01,4.26E-05,
1,8.00E-01,4.36E-05,
1,9.00E-01,4.46E-05,
1,1.00E+00,4.55E-05,
1,1.10E+00,4.64E-05,
1,1.20E+00,4.72E-05,
1,1.30E+00,4.80E-05,
1,1.40E+00,4.88E-05,
1,1.50E+00,4.95E-05,
1,1.60E+00,5.02E-05,
1,1.70E+00,5.09E-05,
1,1.80E+00,5.15E-05,
1,1.90E+00,5.22E-05,
1,2.00E+00,5.28E-05,
1,2.10E+00,5.34E-05,
1,2.20E+00,5.39E-05,
1,2.30E+00,5.45E-05,
1,2.40E+00,5.50E-05,
1,2.50E+00,5.56E-05,
1,2.60E+00,5.61E-05,
1,2.70E+00,5.66E-05,
1,2.80E+00,5.71E-05,
1,2.90E+00,5.76E-05,
1,3.00E+00,5.81E-05,
1,3.10E+00,5.85E-05,
1,3.20E+00,5.90E-05,
1,3.30E+00,5.94E-05,
1,3.40E+00,5.99E-05,
1,3.50E+00,6.03E-05,
1,3.60E+00,6.07E-05,
1,3.70E+00,6.12E-05,
1,3.80E+00,6.16E-05,
1,3.90E+00,6.20E-05,
1,4.00E+00,6.24E-05,
1,4.10E+00,6.28E-05,
1,4.20E+00,6.32E-05,
1,4.30E+00,6.35E-05,
1,4.40E+00,6.39E-05,
1,4.50E+00,6.43E-05,
1,4.60E+00,6.47E-05,
1,4.70E+00,6.50E-05,
1,4.80E+00,6.54E-05,
1,4.90E+00,6.57E-05,
1,5.00E+00,6.61E-05,
1,5.10E+00,6.64E-05,
1,5.20E+00,6.68E-05,
1,5.30E+00,6.71E-05,
1,5.40E+00,6.74E-05,
1,5.50E+00,6.78E-05,
1,5.60E+00,6.81E-05,
1,5.70E+00,6.84E-05,
1,5.80E+00,6.87E-05,
1,5.90E+00,6.91E-05,
1,6.00E+00,6.94E-05,
1,6.10E+00,6.97E-05,
1,6.20E+00,7.00E-05,
1,6.30E+00,7.03E-05,
1,6.40E+00,7.06E-05,
1,6.50E+00,7.09E-05,
1,6.60E+00,7.12E-05,
1,6.70E+00,7.15E-05,
1,6.80E+00,7.18E-05,
1,6.90E+00,7.20E-05,
1,7.00E+00,7.23E-05,
1,7.10E+00,7.26E-05,
1,7.20E+00,7.29E-05,
1,7.30E+00,7.32E-05,
1,7.40E+00,7.34E-05,
1,7.50E+00,7.37E-05,
1,7.60E+00,7.40E-05,
1,7.70E+00,7.43E-05,
1,7.80E+00,7.45E-05,
1,7.90E+00,7.48E-05,
1,8.00E+00,7.51E-05,
1,8.10E+00,7.53E-05,
1,8.20E+00,7.56E-05,
1,8.30E+00,7.58E-05,
1,8.40E+00,7.61E-05,
1,8.50E+00,7.63E-05,
1,8.60E+00,7.66E-05,
1,8.70E+00,7.68E-05,
1,8.80E+00,7.71E-05,
1,8.90E+00,7.73E-05,
1,9.00E+00,7.76E-05,
1,9.10E+00,7.78E-05,
1,9.20E+00,7.81E-05,
1,9.30E+00,7.83E-05,
1,9.40E+00,7.86E-05,
1,9.50E+00,7.88E-05,
1,9.60E+00,7.90E-05,
1,9.70E+00,7.93E-05,
1,9.80E+00,7.95E-05,
1,9.90E+00,7.97E-05,
1,1.00E+01,8.00E-05,
1,1.01E+01,8.02E-05,
1,1.02E+01,8.04E-05,
