vbs,vgs,irg
0,0.00E+00,0.00E+00
0,1.00E-02,1.56E-13
0,2.00E-02,3.08E-13
0,3.00E-02,4.31E-13
0,4.00E-02,5.37E-13
0,5.00E-02,6.61E-13
0,6.00E-02,8.08E-13
0,7.00E-02,9.84E-13
0,8.00E-02,1.20E-12
0,9.00E-02,1.45E-12
0,1.00E-01,1.76E-12
0,1.10E-01,2.14E-12
0,1.20E-01,2.61E-12
0,1.30E-01,3.18E-12
0,1.40E-01,3.88E-12
0,1.50E-01,4.73E-12
0,1.60E-01,5.78E-12
0,1.70E-01,7.08E-12
0,1.80E-01,8.67E-12
0,1.90E-01,1.06E-11
0,2.00E-01,1.30E-11
0,2.10E-01,1.60E-11
0,2.20E-01,1.97E-11
0,2.30E-01,2.42E-11
0,2.40E-01,2.98E-11
0,2.50E-01,3.67E-11
0,2.60E-01,4.52E-11
0,2.70E-01,5.56E-11
0,2.80E-01,6.85E-11
0,2.90E-01,8.45E-11
0,3.00E-01,1.04E-10
0,3.10E-01,1.28E-10
0,3.20E-01,1.58E-10
0,3.30E-01,1.95E-10
0,3.40E-01,2.41E-10
0,3.50E-01,2.97E-10
0,3.60E-01,3.66E-10
0,3.70E-01,4.52E-10
0,3.80E-01,5.57E-10
0,3.90E-01,6.87E-10
0,4.00E-01,8.48E-10
0,4.10E-01,1.05E-09
0,4.20E-01,1.29E-09
0,4.30E-01,1.59E-09
0,4.40E-01,1.96E-09
0,4.50E-01,2.42E-09
0,4.60E-01,2.99E-09
0,4.70E-01,3.69E-09
0,4.80E-01,4.55E-09
0,4.90E-01,5.61E-09
0,5.00E-01,6.92E-09
0,5.10E-01,8.54E-09
0,5.20E-01,1.05E-08
0,5.30E-01,1.30E-08
0,5.40E-01,1.60E-08
0,5.50E-01,1.98E-08
0,5.60E-01,2.44E-08
0,5.70E-01,3.01E-08
0,5.80E-01,3.71E-08
0,5.90E-01,4.58E-08
0,6.00E-01,5.65E-08
0,6.10E-01,6.97E-08
0,6.20E-01,8.60E-08
0,6.30E-01,1.06E-07
0,6.40E-01,1.31E-07
0,6.50E-01,1.61E-07
0,6.60E-01,1.99E-07
0,6.70E-01,2.45E-07
0,6.80E-01,3.03E-07
0,6.90E-01,3.73E-07
0,7.00E-01,4.60E-07
0,7.10E-01,5.68E-07
0,7.20E-01,7.00E-07
0,7.30E-01,8.63E-07
0,7.40E-01,1.23E-06
0,7.50E-01,1.71E-06
0,7.60E-01,2.27E-06
0,7.70E-01,2.90E-06
0,7.80E-01,3.61E-06
0,7.90E-01,4.40E-06
0,8.00E-01,5.27E-06
0,8.10E-01,6.21E-06
0,8.20E-01,7.24E-06
0,8.30E-01,8.34E-06
0,8.40E-01,9.51E-06
0,8.50E-01,1.07E-05
0,8.60E-01,1.20E-05
0,8.70E-01,1.33E-05
0,8.80E-01,1.46E-05
0,8.90E-01,1.60E-05
0,9.00E-01,1.75E-05
0,9.10E-01,1.91E-05
0,9.20E-01,2.07E-05
0,9.30E-01,2.24E-05
0,9.40E-01,2.41E-05
0,9.50E-01,2.59E-05
0,9.60E-01,2.77E-05
0,9.70E-01,2.96E-05
0,9.80E-01,3.16E-05
0,9.90E-01,3.36E-05
0,1.00E+00,3.57E-05
0,1.01E+00,3.79E-05
0,1.02E+00,4.01E-05
0,1.03E+00,4.24E-05
0,1.04E+00,4.47E-05
0,1.05E+00,4.71E-05
0,1.06E+00,4.95E-05
0,1.07E+00,5.20E-05
0,1.08E+00,5.46E-05
0,1.09E+00,5.72E-05
0,1.10E+00,5.99E-05
0,1.11E+00,6.26E-05
0,1.12E+00,6.54E-05
0,1.13E+00,6.83E-05
0,1.14E+00,7.12E-05
0,1.15E+00,7.41E-05
0,1.16E+00,7.71E-05
0,1.17E+00,8.02E-05
0,1.18E+00,8.33E-05
0,1.19E+00,8.65E-05
0,1.20E+00,8.98E-05
0,1.21E+00,9.31E-05
0,1.22E+00,9.64E-05
0,1.23E+00,9.98E-05
0,1.24E+00,1.03E-04
0,1.25E+00,1.07E-04
0,1.26E+00,1.10E-04
0,1.27E+00,1.14E-04
0,1.28E+00,1.18E-04
0,1.29E+00,1.21E-04
0,1.30E+00,1.25E-04
0,1.31E+00,1.29E-04
0,1.32E+00,1.33E-04
0,1.33E+00,1.37E-04
0,1.34E+00,1.41E-04
0,1.35E+00,1.45E-04
0,1.36E+00,1.49E-04
0,1.37E+00,1.53E-04
0,1.38E+00,1.58E-04
0,1.39E+00,1.62E-04
0,1.40E+00,1.66E-04
0,1.41E+00,1.71E-04
0,1.42E+00,1.75E-04
0,1.43E+00,1.79E-04
0,1.44E+00,1.84E-04
0,1.45E+00,1.89E-04
0,1.46E+00,1.93E-04
0,1.47E+00,1.98E-04
0,1.48E+00,2.03E-04
0,1.49E+00,2.08E-04
0,1.50E+00,2.12E-04
0,1.51E+00,2.17E-04
0,1.52E+00,2.22E-04
0,1.53E+00,2.27E-04
0,1.54E+00,2.32E-04
0,1.55E+00,2.37E-04
0,1.56E+00,2.43E-04
0,1.57E+00,2.48E-04
0,1.58E+00,2.53E-04
0,1.59E+00,2.58E-04
0,1.60E+00,2.64E-04
0,1.61E+00,2.69E-04
0,1.62E+00,2.75E-04
0,1.63E+00,2.80E-04
0,1.64E+00,2.86E-04
0,1.65E+00,2.91E-04
0,1.66E+00,2.97E-04
0,1.67E+00,3.03E-04
0,1.68E+00,3.09E-04
0,1.69E+00,3.14E-04
0,1.70E+00,3.20E-04
0,1.71E+00,3.26E-04
0,1.72E+00,3.32E-04
0,1.73E+00,3.38E-04
0,1.74E+00,3.44E-04
0,1.75E+00,3.51E-04
0,1.76E+00,3.57E-04
0,1.77E+00,3.63E-04
0,1.78E+00,3.69E-04
0,1.79E+00,3.76E-04
0,1.80E+00,3.82E-04
0,1.81E+00,3.88E-04
0,1.82E+00,3.95E-04
0,1.83E+00,4.01E-04
0,1.84E+00,4.08E-04
0,1.85E+00,4.15E-04
0,1.86E+00,4.21E-04
0,1.87E+00,4.28E-04
0,1.88E+00,4.35E-04
0,1.89E+00,4.41E-04
0,1.90E+00,4.48E-04
0,1.91E+00,4.55E-04
0,1.92E+00,4.62E-04
0,1.93E+00,4.69E-04
0,1.94E+00,4.76E-04
0,1.95E+00,4.83E-04
0,1.96E+00,4.91E-04
0,1.97E+00,4.98E-04
0,1.98E+00,5.05E-04
0,1.99E+00,5.12E-04
0,2.00E+00,5.20E-04
-2,0.00E+00,2.03E-12
-2,1.00E-02,2.05E-12
-2,2.00E-02,2.07E-12
-2,3.00E-02,2.09E-12
-2,4.00E-02,2.11E-12
-2,5.00E-02,2.13E-12
-2,6.00E-02,2.15E-12
-2,7.00E-02,2.17E-12
-2,8.00E-02,2.19E-12
-2,9.00E-02,2.21E-12
-2,1.00E-01,2.23E-12
-2,1.10E-01,2.25E-12
-2,1.20E-01,2.27E-12
-2,1.30E-01,2.29E-12
-2,1.40E-01,2.31E-12
-2,1.50E-01,2.33E-12
-2,1.60E-01,2.35E-12
-2,1.70E-01,2.37E-12
-2,1.80E-01,2.39E-12
-2,1.90E-01,2.41E-12
-2,2.00E-01,2.43E-12
-2,2.10E-01,2.45E-12
-2,2.20E-01,2.47E-12
-2,2.30E-01,2.49E-12
-2,2.40E-01,2.51E-12
-2,2.50E-01,2.53E-12
-2,2.60E-01,2.55E-12
-2,2.70E-01,2.57E-12
-2,2.80E-01,2.59E-12
