vbs,vgs,irg,sqrt(irg)
0,0.00E+00,0.00E+00,0
0,1.00E-02,1.56E-13,0.0000003948081813
0,2.00E-02,3.08E-13,0.0000005553615939
0,3.00E-02,4.31E-13,0.0000006568534844
0,4.00E-02,5.37E-13,0.0000007328304033
0,5.00E-02,6.61E-13,0.0000008129589781
0,6.00E-02,8.08E-13,0.0000008988430898
0,7.00E-02,9.84E-13,0.0000009919267614
0,8.00E-02,1.20E-12,0.000001093600933
0,9.00E-02,1.45E-12,0.000001205274243
0,1.00E-01,1.76E-12,0.000001328413339
0,1.10E-01,2.14E-12,0.000001464578096
0,1.20E-01,2.61E-12,0.000001615453187
0,1.30E-01,3.18E-12,0.000001782855575
0,1.40E-01,3.88E-12,0.000001968774492
0,1.50E-01,4.73E-12,0.000002175396286
0,1.60E-01,5.78E-12,0.000002405118292
0,1.70E-01,7.08E-12,0.000002660579448
0,1.80E-01,8.67E-12,0.00000294470355
0,1.90E-01,1.06E-11,0.000003260713112
0,2.00E-01,1.30E-11,0.000003612176629
0,2.10E-01,1.60E-11,0.000004003052585
0,2.20E-01,1.97E-11,0.000004437716755
0,2.30E-01,2.42E-11,0.000004921032412
0,2.40E-01,2.98E-11,0.000005458388956
0,2.50E-01,3.67E-11,0.00000605576915
0,2.60E-01,4.52E-11,0.000006719809521
0,2.70E-01,5.56E-11,0.000007457883078
0,2.80E-01,6.85E-11,0.000008278172504
0,2.90E-01,8.45E-11,0.000009189766591
0,3.00E-01,1.04E-10,0.00001020275453
0,3.10E-01,1.28E-10,0.00001132834939
0,3.20E-01,1.58E-10,0.0000125789944
0,3.30E-01,1.95E-10,0.0000139685146
0,3.40E-01,2.41E-10,0.00001551225967
0,3.50E-01,2.97E-10,0.0000172272865
0,3.60E-01,3.66E-10,0.00001913253512
0,3.70E-01,4.52E-10,0.00002124903998
0,3.80E-01,5.57E-10,0.00002360016525
0,3.90E-01,6.87E-10,0.00002621185991
0,4.00E-01,8.48E-10,0.00002911294214
0,4.10E-01,1.05E-09,0.00003233542949
0,4.20E-01,1.29E-09,0.00003591485765
0,4.30E-01,1.59E-09,0.00003989073827
0,4.40E-01,1.96E-09,0.00004430689563
0,4.50E-01,2.42E-09,0.00004921206153
0,4.60E-01,2.99E-09,0.00005466031467
0,4.70E-01,3.69E-09,0.00006071173692
0,4.80E-01,4.55E-09,0.00006743305569
0,4.90E-01,5.61E-09,0.00007489837782
0,5.00E-01,6.92E-09,0.0000831899994
0,5.10E-01,8.54E-09,0.00009239932359
0,5.20E-01,1.05E-08,0.0001026278715
0,5.30E-01,1.30E-08,0.0001139883327
0,5.40E-01,1.60E-08,0.0001266059635
0,5.50E-01,1.98E-08,0.0001406197355
0,5.60E-01,2.44E-08,0.0001561841221
0,5.70E-01,3.01E-08,0.0001734704874
0,5.80E-01,3.71E-08,0.0001926692762
0,5.90E-01,4.58E-08,0.0002139918456
0,6.00E-01,5.65E-08,0.0002376729686
0,6.10E-01,6.97E-08,0.0002639732183
0,6.20E-01,8.60E-08,0.0002931819572
0,6.30E-01,1.06E-07,0.0003256203311
0,6.40E-01,1.31E-07,0.0003616448534
0,6.50E-01,1.61E-07,0.0004016510924
0,6.60E-01,1.99E-07,0.0004460782443
0,6.70E-01,2.45E-07,0.00049541306
0,6.80E-01,3.03E-07,0.0005501957833
0,6.90E-01,3.73E-07,0.0006110254496
0,7.00E-01,4.60E-07,0.0006785654722
0,7.10E-01,5.68E-07,0.0007535513254
0,7.20E-01,7.00E-07,0.0008367968093
0,7.30E-01,8.63E-07,0.0009292023461
0,7.40E-01,1.23E-06,0.001110269787
0,7.50E-01,1.71E-06,0.001307944188
0,7.60E-01,2.27E-06,0.00150555704
0,7.70E-01,2.90E-06,0.001703107454
0,7.80E-01,3.61E-06,0.001900594381
0,7.90E-01,4.40E-06,0.002098017159
0,8.00E-01,5.27E-06,0.002295374697
0,8.10E-01,6.21E-06,0.002492666243
0,8.20E-01,7.24E-06,0.002689891262
