vgs,vds,vrg,irg,vdd
1,0,-0.00013,-0.00000013,0
1,0.1,0.0459,0.0000459,0.2
1,0.2,0.0591,0.0000591,0.3
1,0.5,0.0671,0.0000671,0.5
1,1,0.069,0.000069,1
1,1.5,0.0701,0.0000701,1.5
1,2,0.071,0.000071,2
1,2.5,0.0717,0.0000717,2.5
1,3,0.0724,0.0000724,3
1,3.5,0.073,0.000073,3.5
1,4,0.0735,0.0000735,4
1,4.5,0.074,0.000074,4.5
1,5,0.0745,0.0000745,5
1,5.5,0.075,0.000075,5.5
1,6,0.0755,0.0000755,6
3,0,0,0,0
3,0.5,0.812,0.000812,1.3
3,1,1.424,0.001424,2.4
3,1.5,1.811,0.001811,3.3
3,2,1.952,0.001952,4
3,2.5,1.984,0.001984,4.5
3,3,2.004,0.002004,5
3,3.5,2.021,0.002021,5.5
3,4,2.036,0.002036,6
3,4.5,2.049,0.002049,6.5
3,5,2.061,0.002061,7
3,5.5,2.072,0.002072,7.5
3,6,2.082,0.002082,8
6,0,-2.00E-05,-2.00E-08,0
6,0.5,1.769,0.001769,2.3
6,1,3.338,0.003338,4.4
6,1.5,4.631,0.004631,6.2
6,2,5.72,0.00572,7.9
6,2.5,6.615,0.006615,9.2
6,3,7.2,0.0072,10.3
6,3.5,7.601,0.007601,11.2
6,4,7.813,0.007813,11.9
6,4.5,7.917,0.007917,12.5
6,5,7.98,0.00798,13.1
6,5.5,8.021,0.008021,13.6
6,6,8.08,0.00808,14.2
