vbs,vsg,irg
0,0.00E+00,0.00E+00
0,1.00E-02,3.39E-14
0,2.00E-02,6.05E-14
0,3.00E-02,8.67E-14
0,4.00E-02,1.11E-13
0,5.00E-02,1.35E-13
0,6.00E-02,1.59E-13
0,7.00E-02,1.82E-13
0,8.00E-02,2.06E-13
0,9.00E-02,2.31E-13
0,1.00E-01,2.57E-13
0,1.10E-01,2.85E-13
0,1.20E-01,3.14E-13
0,1.30E-01,3.46E-13
0,1.40E-01,3.81E-13
0,1.50E-01,4.20E-13
0,1.60E-01,4.65E-13
0,1.70E-01,5.16E-13
0,1.80E-01,5.76E-13
0,1.90E-01,6.47E-13
0,2.00E-01,7.33E-13
0,2.10E-01,8.36E-13
0,2.20E-01,9.63E-13
0,2.30E-01,1.12E-12
0,2.40E-01,1.31E-12
0,2.50E-01,1.56E-12
0,2.60E-01,1.86E-12
0,2.70E-01,2.25E-12
0,2.80E-01,2.73E-12
0,2.90E-01,3.35E-12
0,3.00E-01,4.13E-12
0,3.10E-01,5.13E-12
0,3.20E-01,6.39E-12
0,3.30E-01,8.00E-12
0,3.40E-01,1.01E-11
0,3.50E-01,1.27E-11
0,3.60E-01,1.60E-11
0,3.70E-01,2.03E-11
0,3.80E-01,2.57E-11
0,3.90E-01,3.27E-11
0,4.00E-01,4.16E-11
0,4.10E-01,5.29E-11
0,4.20E-01,6.75E-11
0,4.30E-01,8.60E-11
0,4.40E-01,1.10E-10
0,4.50E-01,1.40E-10
0,4.60E-01,1.79E-10
0,4.70E-01,2.28E-10
0,4.80E-01,2.91E-10
0,4.90E-01,3.72E-10
0,5.00E-01,4.75E-10
0,5.10E-01,6.07E-10
0,5.20E-01,7.76E-10
0,5.30E-01,9.91E-10
0,5.40E-01,1.27E-09
0,5.50E-01,1.62E-09
0,5.60E-01,2.07E-09
0,5.70E-01,2.64E-09
0,5.80E-01,3.38E-09
0,5.90E-01,4.32E-09
0,6.00E-01,5.52E-09
0,6.10E-01,7.05E-09
0,6.20E-01,9.01E-09
0,6.30E-01,1.15E-08
0,6.40E-01,1.47E-08
0,6.50E-01,1.88E-08
0,6.60E-01,2.40E-08
0,6.70E-01,3.07E-08
0,6.80E-01,3.93E-08
0,6.90E-01,5.02E-08
0,7.00E-01,6.42E-08
0,7.10E-01,8.20E-08
0,7.20E-01,1.05E-07
0,7.30E-01,1.34E-07
0,7.40E-01,1.71E-07
0,7.50E-01,2.19E-07
0,7.60E-01,3.15E-07
0,7.70E-01,4.65E-07
0,7.80E-01,6.44E-07
0,7.90E-01,8.52E-07
0,8.00E-01,1.09E-06
0,8.10E-01,1.36E-06
0,8.20E-01,1.65E-06
0,8.30E-01,1.98E-06
0,8.40E-01,2.33E-06
0,8.50E-01,2.71E-06
0,8.60E-01,3.12E-06
0,8.70E-01,3.57E-06
0,8.80E-01,4.03E-06
0,8.90E-01,4.53E-06
0,9.00E-01,5.06E-06
0,9.10E-01,5.62E-06
0,9.20E-01,6.20E-06
0,9.30E-01,6.75E-06
0,9.40E-01,7.32E-06
0,9.50E-01,7.92E-06
0,9.60E-01,8.53E-06
0,9.70E-01,9.17E-06
0,9.80E-01,9.82E-06
0,9.90E-01,1.05E-05
0,1.00E+00,1.12E-05
0,1.01E+00,1.19E-05
0,1.02E+00,1.27E-05
0,1.03E+00,1.34E-05
0,1.04E+00,1.42E-05
0,1.05E+00,1.50E-05
0,1.06E+00,1.58E-05
0,1.07E+00,1.66E-05
0,1.08E+00,1.75E-05
0,1.09E+00,1.84E-05
0,1.10E+00,1.93E-05
0,1.11E+00,2.02E-05
0,1.12E+00,2.11E-05
