vbs,vsg,irg,sqrt(irg)
0,0.00E+00,0.00E+00,0
0,1.00E-02,3.39E-14,0.0000001840551548
0,2.00E-02,6.05E-14,0.0000002459524141
0,3.00E-02,8.67E-14,0.0000002944556843
0,4.00E-02,1.11E-13,0.0000003335092203
0,5.00E-02,1.35E-13,0.0000003675173465
0,6.00E-02,1.59E-13,0.0000003983231101
0,7.00E-02,1.82E-13,0.0000004270352444
0,8.00E-02,2.06E-13,0.0000004543996039
0,9.00E-02,2.31E-13,0.0000004809723485
0,1.00E-01,2.57E-13,0.0000005072087342
0,1.10E-01,2.85E-13,0.0000005335230079
0,1.20E-01,3.14E-13,0.000000560322318
0,1.30E-01,3.46E-13,0.0000005880308665
0,1.40E-01,3.81E-13,0.0000006171157104
0,1.50E-01,4.20E-13,0.0000006481000694
0,1.60E-01,4.65E-13,0.0000006815817633
0,1.70E-01,5.16E-13,0.0000007182500957
0,1.80E-01,5.76E-13,0.0000007588949203
0,1.90E-01,6.47E-13,0.0000008044234581
0,2.00E-01,7.33E-13,0.0000008558700252
0,2.10E-01,8.36E-13,0.0000009144039042
0,2.20E-01,9.63E-13,0.0000009813397475
0,2.30E-01,1.12E-12,0.000001058145548
0,2.40E-01,1.31E-12,0.000001146448865
0,2.50E-01,1.56E-12,0.00000124805088
0,2.60E-01,1.86E-12,0.000001364936629
0,2.70E-01,2.25E-12,0.000001499300504
0,2.80E-01,2.73E-12,0.000001653566146
0,2.90E-01,3.35E-12,0.000001830419078
0,3.00E-01,4.13E-12,0.000002032847018
0,3.10E-01,5.13E-12,0.000002264183738
0,3.20E-01,6.39E-12,0.000002528162772
0,3.30E-01,8.00E-12,0.000002828974549
0,3.40E-01,1.01E-11,0.000003171334104
0,3.50E-01,1.27E-11,0.000003560557541
0,3.60E-01,1.60E-11,0.000004002642877
0,3.70E-01,2.03E-11,0.00000450436788
0,3.80E-01,2.57E-11,0.000005073388414
0,3.90E-01,3.27E-11,0.000005718365151
0,4.00E-01,4.16E-11,0.000006449089858
0,4.10E-01,5.29E-11,0.000007276633837
0,4.20E-01,6.75E-11,0.000008213524213
0,4.30E-01,8.60E-11,0.000009273924196
0,4.40E-01,1.10E-10,0.00001047385793
0,4.50E-01,1.40E-10,0.00001183143694
0,4.60E-01,1.79E-10,0.00001336715377
0,4.70E-01,2.28E-10,0.00001510417492
0,4.80E-01,2.91E-10,0.00001706870528
0,4.90E-01,3.72E-10,0.00001929036288
0,5.00E-01,4.75E-10,0.00002180264663
0,5.10E-01,6.07E-10,0.00002464342509
0,5.20E-01,7.76E-10,0.00002785552369
0,5.30E-01,9.91E-10,0.00003148734825
0,5.40E-01,1.27E-09,0.00003559363707
0,5.50E-01,1.62E-09,0.00004023626474
0,5.60E-01,2.07E-09,0.00004548519539
0,5.70E-01,2.64E-09,0.00005141951964
0,5.80E-01,3.38E-09,0.00005812863322
0,5.90E-01,4.32E-09,0.00006571362111
0,6.00E-01,5.52E-09,0.0000742887542
0,6.10E-01,7.05E-09,0.00008398318879
0,6.20E-01,9.01E-09,0.00009494295129
0,6.30E-01,1.15E-08,0.0001073330797
0,6.40E-01,1.47E-08,0.0001213401418
0,6.50E-01,1.88E-08,0.0001371750342
0,6.60E-01,2.40E-08,0.0001550760136
0,6.70E-01,3.07E-08,0.0001753124924
0,6.80E-01,3.93E-08,0.0001981888241
0,6.90E-01,5.02E-08,0.0002240488786
0,7.00E-01,6.42E-08,0.0002532811481
0,7.10E-01,8.20E-08,0.0002863245012
0,7.20E-01,1.05E-07,0.0003236743734
0,7.30E-01,1.34E-07,0.0003658901474
0,7.40E-01,1.71E-07,0.0004136030706
0,7.50E-01,2.19E-07,0.0004675249726
0,7.60E-01,3.15E-07,0.0005610898324
0,7.70E-01,4.65E-07,0.0006818482969
0,7.80E-01,6.44E-07,0.0008025854472
0,7.90E-01,8.52E-07,0.0009233007094
0,8.00E-01,1.09E-06,0.001043993774
0,8.10E-01,1.36E-06,0.0011646639
0,8.20E-01,1.65E-06,0.001285310468
0,8.30E-01,1.98E-06,0.001405933853
0,8.40E-01,2.33E-06,0.001526533
0,8.50E-01,2.71E-06,0.001647107465
0,8.60E-01,3.12E-06,0.001767656924
0,8.70E-01,3.57E-06,0.0018881814
0,8.80E-01,4.03E-06,0.002008679915
0,8.90E-01,4.53E-06,0.002129152414
0,9.00E-01,5.06E-06,0.002249598631
0,9.10E-01,5.62E-06,0.002370017721
0,9.20E-01,6.20E-06,0.00249033833
0,9.30E-01,6.75E-06,0.00259857865
0,9.40E-01,7.32E-06,0.002706446933
0,9.50E-01,7.92E-06,0.002813957711
0,9.60E-01,8.53E-06,0.002921124441
0,9.70E-01,9.17E-06,0.003027960039
0,9.80E-01,9.82E-06,0.003134476033
0,9.90E-01,1.05E-05,0.00324068357
0,1.00E+00,1.12E-05,0.003346593791
0,1.01E+00,1.19E-05,0.003452216679
0,1.02E+00,1.27E-05,0.003557560962
0,1.03E+00,1.34E-05,0.003662635663
0,1.04E+00,1.42E-05,0.003767450066
0,1.05E+00,1.50E-05,0.003872009814
0,1.06E+00,1.58E-05,0.003976323679
0,1.07E+00,1.66E-05,0.004080398265
0,1.08E+00,1.75E-05,0.004184240672
0,1.09E+00,1.84E-05,0.004287856108
0,1.10E+00,1.93E-05,0.00439125153
0,1.11E+00,2.02E-05,0.004494432111
0,1.12E+00,2.11E-05,0.004597403615
0,1.13E+00,2.21E-05,0.004700171273
0,1.14E+00,2.31E-05,0.004802738802
0,1.15E+00,2.41E-05,0.00490511162
0,1.16E+00,2.51E-05,0.005007294679
0,1.17E+00,2.61E-05,0.005109290557
0,1.18E+00,2.72E-05,0.005211105449
0,1.19E+00,2.82E-05,0.005312741289
0,1.20E+00,2.93E-05,0.005414203543
0,1.21E+00,3.04E-05,0.005515494538
0,1.22E+00,3.15E-05,0.005616617309
0,1.23E+00,3.27E-05,0.00571757641
0,1.24E+00,3.39E-05,0.005818373484
0,1.25E+00,3.50E-05,0.005919013431
0,1.26E+00,3.62E-05,0.006019497487
0,1.27E+00,3.75E-05,0.006119829246
