vsg,vsd,irg
1,0.00E+00,-9.48E-19
1,1.00E-02,8.93E-07
1,2.00E-02,1.75E-06
1,3.00E-02,2.58E-06
1,4.00E-02,3.38E-06
1,5.00E-02,4.14E-06
1,6.00E-02,4.87E-06
1,7.00E-02,5.56E-06
1,8.00E-02,6.22E-06
1,9.00E-02,6.84E-06
1,1.00E-01,7.42E-06
1,1.10E-01,7.96E-06
1,1.20E-01,8.47E-06
1,1.30E-01,8.94E-06
1,1.40E-01,9.38E-06
1,1.50E-01,9.77E-06
1,1.60E-01,1.01E-05
1,1.70E-01,1.04E-05
1,1.80E-01,1.07E-05
1,1.90E-01,1.09E-05
1,2.00E-01,1.11E-05
1,2.10E-01,1.13E-05
1,2.20E-01,1.14E-05
1,2.30E-01,1.15E-05
1,2.40E-01,1.15E-05
1,2.50E-01,1.15E-05
1,2.60E-01,1.15E-05
1,2.70E-01,1.16E-05
1,2.80E-01,1.16E-05
1,2.90E-01,1.16E-05
1,3.00E-01,1.16E-05
1,3.10E-01,1.17E-05
1,3.20E-01,1.17E-05
1,3.30E-01,1.17E-05
1,3.40E-01,1.17E-05
1,3.50E-01,1.18E-05
1,3.60E-01,1.18E-05
1,3.70E-01,1.18E-05
1,3.80E-01,1.18E-05
1,3.90E-01,1.18E-05
1,4.00E-01,1.19E-05
1,4.10E-01,1.19E-05
1,4.20E-01,1.19E-05
1,4.30E-01,1.19E-05
1,4.40E-01,1.20E-05
1,4.50E-01,1.20E-05
1,4.60E-01,1.20E-05
1,4.70E-01,1.20E-05
1,4.80E-01,1.20E-05
1,4.90E-01,1.21E-05
1,5.00E-01,1.21E-05
1,5.10E-01,1.21E-05
1,5.20E-01,1.21E-05
1,5.30E-01,1.21E-05
1,5.40E-01,1.22E-05
1,5.50E-01,1.22E-05
1,5.60E-01,1.22E-05
1,5.70E-01,1.22E-05
1,5.80E-01,1.22E-05
1,5.90E-01,1.22E-05
1,6.00E-01,1.23E-05
1,6.10E-01,1.23E-05
1,6.20E-01,1.23E-05
1,6.30E-01,1.23E-05
1,6.40E-01,1.23E-05
1,6.50E-01,1.24E-05
1,6.60E-01,1.24E-05
1,6.70E-01,1.24E-05
1,6.80E-01,1.24E-05
1,6.90E-01,1.24E-05
1,7.00E-01,1.24E-05
1,7.10E-01,1.25E-05
1,7.20E-01,1.25E-05
1,7.30E-01,1.25E-05
1,7.40E-01,1.25E-05
1,7.50E-01,1.25E-05
1,7.60E-01,1.25E-05
1,7.70E-01,1.26E-05
1,7.80E-01,1.26E-05
1,7.90E-01,1.26E-05
1,8.00E-01,1.26E-05
1,8.10E-01,1.26E-05
1,8.20E-01,1.26E-05
1,8.30E-01,1.27E-05
1,8.40E-01,1.27E-05
1,8.50E-01,1.27E-05
1,8.60E-01,1.27E-05
1,8.70E-01,1.27E-05
1,8.80E-01,1.27E-05
1,8.90E-01,1.28E-05
