vsg,vsd,vrg,irg,vdd
1,0,-6.00E-05,-6.00E-08,0
1,0.1,7.40E-03,7.40E-06,0.1
1,0.2,1.24E-02,1.24E-05,0.2
1,0.5,1.60E-02,1.60E-05,0.5
1,1,1.70E-02,1.70E-05,1
1,1.5,1.77E-02,1.77E-05,1.5
1,2,1.82E-02,1.82E-05,2
1,2.5,1.86E-02,1.86E-05,2.5
1,3,1.90E-02,1.90E-05,3.1
1,3.5,1.93E-02,1.93E-05,3.5
1,4,1.97E-02,1.97E-05,4
1,4.5,2.00E-02,2.00E-05,4.5
1,5,2.03E-02,2.03E-05,5.1
1,5.5,2.05E-02,2.05E-05,5.5
1,6,2.08E-02,2.08E-05,6
3,0,-7.00E-05,-7.00E-08,0
3,0.5,0.2255,0.0002255,0.7
3,1,0.411,0.000411,1.4
3,1.5,0.5276,0.0005276,2
3,2,0.5929,0.0005929,2.6
3,2.5,0.617,0.000617,3.1
3,3,0.6329,0.0006329,3.6
3,3.5,0.6479,0.0006479,4.2
3,4,0.6586,0.0006586,4.7
3,4.5,0.6682,0.0006682,5.2
3,5,0.6769,0.0006769,5.7
3,5.5,0.6851,0.0006851,6.2
3,6,0.692,0.000692,6.7
6,0,-5.00E-05,-5.00E-08,0
6,0.5,0.4698,0.0004698,1
6,1,0.87,0.00087,1.9
6,1.5,1.207,0.001207,2.7
6,2,1.5563,0.0015563,3.6
6,2.5,1.803,0.001803,4.3
6,3,2.053,0.002053,5.1
6,3.5,2.2124,0.0022124,5.7
6,4,2.36,0.00236,6.4
6,4.5,2.45,0.00245,7
6,5,2.503,0.002503,7.5
6,5.5,2.55,0.00255,8.1
6,6,2.585,0.002585,8.6
